csf_function,csf_category,csf_subcategory,csf_title,iso27001_annex_a,iso27001_clauses
Respond,RS.MA,RS.MA-01,The incident response plan is executed in coordination with relevant third parties once an incident is declared,A.5.26; A.5.27; A.5.28,
Respond,RS.MA,RS.MA-02,Incident reports are triaged and validated,A.5.24; A.5.26; A.5.27; A.5.28; A.6.8,
Respond,RS.MA,RS.MA-03,Incidents are categorized and prioritized,A.5.25,
Respond,RS.MA,RS.MA-04,Incidents are escalated or elevated as needed,A.5.26,
Respond,RS.MA,RS.MA-05,The criteria for initiating incident recovery are applied,A.5.25,
Respond,RS.AN,RS.AN-03,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,A.5.25; A.5.27,
Respond,RS.AN,RS.AN-06,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",A.5.28,
Respond,RS.AN,RS.AN-07,"Incident data and metadata are collected, and their integrity and provenance are preserved",A.5.28,
Respond,RS.AN,RS.AN-08,An incident's magnitude is estimated and validated,A.5.25,
Respond,RS.CO,RS.CO-02,Internal and external stakeholders are notified of incidents,A.5.26,7.4
Respond,RS.CO,RS.CO-03,Information is shared with designated internal and external stakeholders,A.5.26,7.4
Respond,RS.MI,RS.MI-01,Incidents are contained,A.5.26,
Respond,RS.MI,RS.MI-02,Incidents are eradicated,A.5.26,
Recover,RC.RP,RC.RP-01,The recovery portion of the incident response plan is executed once initiated from the incident response process,A.5.26,
Recover,RC.RP,RC.RP-02,"Recovery actions are selected, scoped, prioritized, and performed",A.5.26,
Recover,RC.RP,RC.RP-03,The integrity of backups and other restoration assets is verified before using them for restoration,A.8.13,
Recover,RC.RP,RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,,8.1
Recover,RC.RP,RC.RP-05,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",A.5.26,
Recover,RC.RP,RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed",A.5.27; A.8.13,
Recover,RC.CO,RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,A.5.28,7.4
Recover,RC.CO,RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,,7.4
